transportation,time_to_Tiananmen,time_to_nearest_railway_station,Road_conditions,bike-sharing,buses,subway
0.2661143897779483,116,100,9.42232,2,3,0
0.6323193284063813,81,22,14.88605,3,13,2
0.7689820978574905,64,13,121.37529,2,16,11
0.4056496895502681,95,1,14.88605,2,2,2
0.7302379603270938,70,12,40.2103,3,15,5
0.26553895619083123,65,1,784.82668,1,5,3
0.8047941174658533,41,5,784.82668,3,16,17
