campus life,Clubs,Events,Dining Halls
0.408668915505956,31,10,5
0.23929092575609695,103,13,2
0.11001636527645586,93,12,1
0.5913330844940439,216,35,1
0.3260510465632416,81,14,3
0.28024345812442386,61,20,2
0.04491612952794559,44,12,1
