campus environment,Green Space,Sports Area,Libraries
0.6800833928191341,0.767963,4,1257.47
0.47987858728308164,0.360824,8,314.69
0.21659237971241288,0.46598,3,430.0
0.44671079239559885,0.847272,2,800.0
0.25516491912712963,0.489618,4,281.4
0.18770788729736387,0.530721,3,219.0
0.06301996709079552,0.48583,2,109.0
